LikeID,UserID,PostID,CommentID
248,2300,,43257
249,3942,1445,34963
250,1710,7060,49318
251,3930,,
252,3858,11304,47451
253,2052,,44895
254,4757,,31111
255,16,15210,
256,3609,,9627
257,2225,,13756
258,2172,762,13180
259,3903,13899,
260,1763,,
261,759,5081,8728
262,2147,,
263,2308,4022,
264,1592,9928,
265,250,17098,
266,3327,17692,41519
267,551,,44141
268,3161,10320,5472
269,2204,,
270,2654,,37441
271,1489,,
272,4119,504,40170
273,3904,5224,22369
274,2951,12252,
275,4881,12675,21464
276,2747,,
277,2787,12006,
278,2163,19370,42926
279,4333,,
280,1898,6808,
281,4376,,7815
282,4929,,
283,1131,,
284,2673,,10434
285,905,,16198
286,2,2845,20851
287,3343,,49360
288,4103,19995,31600
289,232,6191,47586
290,1845,,
291,673,5806,44119
292,3945,13015,
293,1,,42600
294,4462,,41801
295,2687,9069,44502
296,1016,18590,
297,2846,14749,
298,941,3029,37585
299,2464,,38351
300,3111,13583,10964
301,4876,,2159
302,4026,,38709
303,3386,,4916
304,3650,4706,
305,2316,,44893
306,3089,19903,46474
307,3603,,
308,1620,6919,
309,2783,1984,11514
310,1167,,24392
311,162,,38363
312,4750,,
313,3140,16875,12817
314,3235,,37280
315,2227,,
316,343,,
317,1660,,49070
318,1892,,21354
319,260,13018,40461
320,2717,9215,
321,653,,
322,4908,,
323,326,8457,22987
324,4204,1305,
325,3629,7384,
326,3184,16570,
327,1645,15560,18736
328,3952,,14490
329,2436,,
330,3562,13443,
331,3800,,
332,3990,,
333,2615,7283,14325
334,1049,3385,42973
335,1978,,
336,1032,6401,43771
337,2134,19965,36746
338,4162,12369,16501
339,2404,19940,25875
340,4788,7542,41333
341,473,,2144
342,1534,12333,23521
343,4108,16572,4217
344,1811,,41193
345,905,,
346,4533,,29514
347,3553,6804,
348,4148,,
349,1,,36728
350,4336,,6622
351,4855,,45431
352,31,,
353,945,,
354,4143,2659,
355,492,5301,40526
356,446,,21207
357,2779,14657,19323
358,879,17333,
359,1728,,8103
360,3545,,25545
361,2976,,10789
362,2541,5868,
363,2315,1410,9107
364,4606,,
365,2586,,
366,4526,5843,
367,1973,,
368,592,7873,
369,4255,7409,
370,3356,10739,
371,1834,4101,
372,4808,4046,
373,2730,19261,
374,880,14676,38959
375,3085,7993,14248
376,237,,8173
377,58,14208,
378,1442,,
379,4840,,
380,4614,,
381,2715,4094,
382,3352,19224,49678
383,2886,,28651
384,862,10965,28487
385,3620,8239,
386,3173,,
387,652,,24381
388,2777,8330,33547
389,2343,,42775
390,1614,,
391,730,2532,
392,1053,16975,8853
393,4647,,
394,3162,18398,37796
395,4593,2706,33368
396,910,9197,
397,269,,
398,2029,16311,31063
399,513,,6592
400,2020,,1568
401,1202,18957,
402,1592,19263,
403,2618,,
404,3824,,32264
405,852,3323,19116
406,4846,4578,
407,661,,
408,4185,15428,
409,1633,15365,32796
410,2606,,20086
411,742,12103,
412,4043,2315,
413,4110,,
414,2530,10566,48234
415,4419,2875,12466
416,4813,,
417,4696,15401,49288
418,2815,,28322
419,4597,17424,
420,3228,2169,15923
421,1476,,23730
422,1425,,6402
423,3912,,
424,1184,9630,
425,715,4331,30400
426,2233,,9743
427,3129,18358,43815
428,4598,,47766
429,2503,,
430,416,4157,
431,4159,,
432,1799,14703,23884
433,200,7702,
434,674,16533,1397
435,2838,15192,
436,1903,,
437,591,,14957
438,3290,,35275
439,4704,,
440,4018,,47428
441,930,,
442,3665,19392,
443,2131,6211,
444,1303,7320,
445,4949,9516,
446,278,3686,
447,4583,18327,22663
448,2121,,16261
449,2477,,32360
450,4653,,11660
451,879,14259,
452,2517,,21173
453,3949,,22096
454,4220,17567,
455,4448,4466,
456,1699,6554,
457,119,15180,41191
458,4045,19094,
459,4004,6164,
460,1211,18176,37305
461,736,,41104
462,4472,3762,
463,1080,18948,44075
464,3298,13326,
465,1911,1127,2547
466,2227,,
467,4044,8629,12975
468,3580,14076,4815
469,888,9092,
470,1203,,
471,931,2542,10999
472,499,2191,
473,944,12335,18147
474,3110,10806,750
475,15,7302,23950
476,3145,6599,
477,3908,,
478,2826,,15486
479,3684,10327,
480,4810,,39153
481,191,3805,39307
482,3586,4257,1982
483,1545,,3681
484,1314,13142,
485,964,,
486,1707,6209,
487,1077,5517,21663
488,1674,,
489,3387,12280,35043
490,475,13477,38479
491,4804,,
492,2929,,
493,2672,,7172
494,1509,,
495,4948,,
496,3377,10217,
497,704,,21406
498,508,12097,
499,600,,
500,1634,1249,45939
501,133,,
502,4635,15716,17848
503,3293,,
504,2220,,
505,4510,4981,
506,1269,,3957
507,310,17342,
508,623,13259,
509,3161,11109,26544
510,2496,,9778
511,4267,18845,
512,3294,14501,35361
513,3411,6969,
514,99,,
515,3083,5548,34624
516,1754,2063,
517,501,1377,
518,4631,,
519,2264,,
520,4245,8222,
521,944,,1476
522,2056,,
523,408,18780,23495
524,779,19215,27975
525,3722,17582,1364
526,608,,
527,676,219,
528,2878,14459,22144
529,4840,,
530,1501,8649,
531,4852,,
532,2499,7477,12444
533,1536,15625,
534,2313,19306,
535,2062,6781,1121
536,2510,7036,13758
537,4958,17737,
538,4171,3358,8808
539,1376,12702,3940
540,79,529,30360
541,1507,,
542,4035,7227,24779
543,4721,741,47262
544,2507,18132,
545,4959,4972,10867
546,290,,
547,1862,,
548,3748,3630,
549,3756,,34141
550,4163,,
551,4400,2422,
552,2595,,
553,1378,15470,38743
554,1714,3208,12130
555,268,,
556,3823,18535,16378
557,4472,,
558,2015,2467,
559,3849,10421,
560,2887,,21028
561,823,17799,31548
562,2594,,
563,4076,17180,2018
564,1651,5410,
565,1974,,4595
566,1191,11705,
567,3025,,
568,4361,17602,
569,180,14707,
570,1871,,
571,4959,,
572,1538,15249,38722
573,2212,,
574,532,17566,
575,4290,18542,
576,2102,13615,
577,1987,11432,41537
578,1598,,1067
579,4579,,45700
580,4812,,
581,1829,,45288
582,2740,14169,7243
583,1288,15632,37679
584,3476,,
585,2189,19640,32361
586,4375,5301,
587,2994,18874,
588,250,,
589,4748,6468,
590,4662,12232,24679
591,3414,13776,42907
592,4825,698,
593,4349,,6748
594,476,829,11243
595,3589,5005,49641
596,4879,18469,
597,3103,3996,
598,4048,,37255
599,726,3814,30231
600,866,7035,
601,4441,2469,2553
602,3373,,
603,4773,,34416
604,4023,,10707
605,3858,,
606,176,,
607,703,18243,14484
608,4564,,
609,1168,,30865
610,1722,,
611,2224,,5446
612,4367,,16745
613,3884,,
614,4501,,
615,3320,7829,
616,2374,12074,30871
617,1886,115,
618,1120,3957,
619,3030,,
620,4523,,
621,77,18299,
622,2558,14528,
623,2972,892,
624,3585,,44100
625,4097,19359,36450
626,3852,5413,
627,4203,,35519
628,3924,8680,
629,4572,,12986
630,4434,,25552
631,3716,,31525
632,4600,,10126
633,3611,15942,16837
634,504,11494,35605
635,3698,7516,393
636,4703,12599,
637,3442,15479,
638,1348,,14198
639,1272,9631,
640,554,,16699
641,3208,4043,42074
642,3392,19506,49126
643,3130,,
644,3924,14285,
645,3264,10178,
646,1268,10969,
647,3296,6124,4103
648,653,,7888
649,3922,,14762
650,1838,,39224
651,1739,13517,19317
652,4830,14641,16113
653,815,13269,
654,1775,,
655,2841,,12459
656,1834,,22835
657,4016,17971,
658,79,,
659,2034,,
660,1877,17424,
661,4866,1453,
662,3569,2509,15080
663,2638,18595,34338
664,3986,,
665,314,,46255
666,2240,,34514
667,204,18695,11024
668,172,9676,12601
669,2471,14186,31638
670,1411,,
671,2465,,23514
672,1685,,
673,1405,,11070
674,65,,1526
675,3056,,16709
676,275,,29019
677,4576,8877,
678,4210,,32973
679,2983,,
680,771,19737,
681,2729,,
682,4957,,
683,2381,19220,
684,313,,
685,3521,,28674
686,662,13296,
687,4614,8386,
688,251,,
689,1078,16562,
690,4231,,39286
691,4784,,
692,3159,,33758
693,3602,,
694,3540,615,4714
695,2285,7721,
696,358,11515,
697,3439,2096,46766
698,894,12140,
699,2195,,
700,3821,5319,
701,2277,,43282
702,1087,,4386
703,2510,,
704,4017,,
705,637,,23480
706,1536,11556,4898
707,2274,,
708,1500,,35419
709,2915,,
710,3597,,19741
711,2832,,
712,1289,8040,14048
713,2178,,40711
714,2865,,11570
715,1886,,
716,3091,1977,
717,248,,30340
718,1527,4583,38796
719,1689,12256,
720,2942,16764,6858
721,3131,,23598
722,3952,4307,46687
723,3846,,
724,1272,,
725,1601,821,23878
726,4295,8556,20352
727,1234,62,
728,4474,,
729,2047,6418,
730,3497,19048,
731,3891,,25212
732,1860,,18134
733,2387,17057,23065
734,4186,,26466
735,3302,6595,
736,4815,10806,27711
737,4595,18473,22878
738,4692,,16029
739,3805,,
740,4633,,42179
741,2709,4621,6570
742,4087,7637,
743,2029,,
744,4174,,
745,2770,13506,
746,4980,9545,
747,4171,,38899
748,4202,,31363
749,677,9110,
750,2658,,
751,4834,18825,
752,1532,,41621
753,2014,,
754,4857,,
755,2412,,46024
756,456,,34426
757,1491,,
758,2596,4867,7494
759,4358,16074,8926
760,1081,,
761,2371,,3085
762,2298,14622,
763,4875,10149,2352
764,4249,,
765,2282,,
766,1458,12784,13096
767,4771,10189,8593
768,3771,13308,
769,1488,1869,3901
770,4811,,202
771,2748,3487,
772,282,3992,8350
773,4828,,
774,4466,11188,28299
775,1849,,
776,283,,36244
777,987,17968,15196
778,4200,,
779,3336,16033,
780,912,,
781,3914,,
782,4273,2297,17136
783,362,2355,10730
784,2777,,43276
785,3667,,
786,2196,15009,
787,142,,5300
788,3100,14115,
789,801,,
790,2906,1461,
791,2083,,
792,1692,,29958
793,1524,,7017
794,3876,,
795,2789,3590,42021
796,3211,2209,13852
797,4900,10426,
798,2131,17483,32073
799,198,,
800,1366,,
801,3246,18484,
802,738,9788,32305
803,393,,
804,3952,19960,
805,4119,11252,
806,1681,,7006
807,4243,19691,8526
808,852,,34706
809,1939,8556,4721
810,3427,15044,
811,1310,8870,41900
812,4828,,
813,728,17293,36697
814,1010,,
815,4017,17399,9019
816,653,901,16241
817,1052,,
818,2581,,12363
819,2183,,
820,1200,1102,12489
821,2091,,32580
822,2606,,35221
823,1750,4802,
824,3236,18899,
825,2856,,30238
826,657,,5642
827,2607,11215,
828,4907,5896,18214
829,4902,3857,47223
830,2207,15695,
831,2971,,
832,549,14130,44279
833,2986,,26247
834,4462,,22843
835,1799,8725,42443
836,2127,,
837,2303,,25482
838,1078,,44122
839,3475,14138,40931
840,2209,,
841,292,,
842,3332,2144,
843,2644,16252,
844,842,8434,15011
845,4519,,35858
846,2591,,
847,1047,,
848,2464,10363,37287
849,15,8739,
850,4087,2538,
851,4405,,29032
852,3615,,
853,2700,,
854,4485,336,
855,338,13078,20084
856,3655,13787,
857,2326,,
858,389,,
859,450,,
860,4453,9440,16287
861,4554,,
862,2005,15222,
863,4372,19226,7472
864,2485,,26983
865,1511,,
866,3902,1977,
867,4888,18180,
868,3738,13671,
869,4676,12319,48733
870,4500,,10847
871,3745,,
872,2180,,
873,1793,5893,12422
874,135,,
875,3625,,
876,411,,
877,3300,,38615
878,207,15284,9023
879,3705,,11159
880,4237,,33657
881,1317,19997,33778
882,2718,18879,29158
883,3065,3571,44597
884,4916,1507,
885,4237,,37463
886,2450,18004,
887,4954,4607,2488
888,2805,12884,
889,1911,,
890,2023,,
891,2184,16688,
892,3680,,
893,2503,8230,45226
894,760,,21800
895,4567,549,6879
896,4646,3923,42768
897,1739,,36121
898,1079,8954,36782
899,82,,47687
900,447,,
901,3826,15934,3523
902,511,,11594
903,512,,
904,1188,,
905,2921,,42752
906,4756,17184,11964
907,879,6490,
908,1878,,44995
909,3278,,
910,4191,,
911,321,3055,19637
912,3427,10581,
913,725,16579,45882
914,1521,,27933
915,1391,10198,32765
916,2548,,
917,1272,,31256
918,2224,15088,
919,189,12430,36416
920,516,,42277
921,1346,,14964
922,944,,
923,3976,,
924,3431,19343,
925,3005,,20922
926,4916,8498,19227
927,3272,,40615
928,3460,3286,44400
929,999,,18548
930,1198,,38201
931,1397,7758,
932,2966,3980,
933,11,,24536
934,3207,5550,
935,571,,34994
936,1336,,
937,3218,5098,21100
938,1820,13673,
939,3813,,15046
940,4288,,9330
941,1739,,
942,1744,4791,
943,1838,,14402
944,1247,,16173
945,2491,5447,19729
946,2400,2288,
947,2687,18393,46419
948,3556,,47098
949,4722,8244,42597
950,1663,,
951,4434,19354,
952,4170,5874,38513
953,3268,,42766
954,4587,,21115
955,1638,9380,24321
956,4863,,7434
957,1609,16256,29685
958,4473,,
959,766,321,20731
960,1111,,
961,483,12954,
962,991,10448,
963,2773,,
964,324,,33421
965,3637,16927,
966,932,3891,
967,1375,11153,42255
968,1502,13720,
969,3256,19448,8849
970,745,,
971,3974,14584,14196
972,2514,,46525
973,2255,5356,21838
974,2451,10493,
975,2612,8721,20849
976,3277,5447,7521
977,3162,,26987
978,3518,9313,
979,3982,,
980,262,9669,6671
981,3860,,
982,374,,3137
983,2705,6056,
984,4680,,13178
985,4559,14450,12586
986,3012,19925,24848
987,4799,,
988,3144,9481,43265
989,4601,,4676
990,1919,6162,
991,2184,9941,7124
992,2194,,
993,2619,,
994,1600,,11767
995,1935,7407,2949
996,4436,8815,21079
997,3221,,30918
998,4836,,7527
999,4005,17943,12053
1000,1837,,16029
1001,3537,,
1002,2688,,
1003,1003,10852,
1004,3022,,
1005,423,7928,
1006,3091,2950,
1007,3123,15762,
1008,2212,,3260
1009,2669,1224,29225
1010,2439,,
1011,3606,,
1012,54,4552,
1013,2257,,39389
1014,4646,16417,
1015,4590,13720,18986
1016,2797,19685,
1017,730,,1008
1018,83,13782,
1019,1729,4908,
1020,1482,,
1021,3224,16972,1254
1022,2158,,
1023,2115,16430,
1024,4519,17509,32968
1025,185,7341,
1026,4876,9269,14159
1027,3358,9282,
1028,1394,2897,
1029,3725,13552,3747
1030,4960,,43761
1031,3089,3696,
1032,4402,4768,14878
1033,3011,1387,
1034,1450,,28056
1035,4520,14223,1742
1036,2213,,
1037,4442,2429,
1038,4604,,
1039,2502,18152,
1040,4167,,14536
1041,1790,19097,1196
1042,3127,16180,
1043,602,,
1044,3524,,49215
1045,4920,,30890
1046,888,,3293
1047,3241,15666,
1048,2424,,
1049,3425,,
1050,2087,,
1051,751,,
1052,927,,
1053,2844,15117,
1054,1904,,
1055,4603,,
1056,2305,,
1057,3169,16242,
1058,2915,,
1059,3743,,
1060,1118,9448,21120
1061,2994,2216,17673
1062,4266,,15530
1063,4694,16017,
1064,1610,,
1065,1299,,
1066,4985,,22897
1067,2278,17621,
1068,1746,11063,
1069,3644,,43609
1070,3374,,3650
1071,995,,30519
1072,3557,17164,40726
1073,3993,,
1074,449,19598,47986
1075,4799,6974,528
1076,2225,,11763
1077,4339,9003,46943
1078,2909,16939,34520
1079,2845,,
1080,365,17185,
1081,4410,4980,
1082,4866,4085,
1083,2279,,3654
1084,4062,5536,
1085,4702,,6696
1086,44,18085,46920
1087,1966,,
1088,2054,9300,
1089,4524,453,25061
1090,960,9697,
1091,4244,,40988
1092,3712,,
1093,2793,2743,18524
1094,4520,,
1095,4688,,
1096,1206,,
1097,717,2198,4451
1098,1164,12272,14136
1099,3412,8886,
1100,690,,44356
1101,1978,,
1102,1075,,17972
1103,2518,,
1104,1057,,
1105,2456,10747,6720
1106,486,,44056
1107,3753,,8979
1108,2505,5314,
1109,2989,5893,
1110,724,,11154
1111,861,13922,
1112,2644,,
1113,294,,21859
1114,2554,10870,48863
1115,4795,,
1116,2668,11367,9399
1117,4512,,43920
1118,3093,19365,
1119,3487,12121,
1120,785,2283,
1121,4029,11182,29367
1122,3554,13427,
1123,2846,,
1124,3298,5976,4244
1125,1629,2382,
1126,4035,,15308
1127,2609,18597,12921
1128,2155,,13857
1129,2609,16400,
1130,3254,,
1131,4802,,
1132,557,,
1133,3415,4259,
1134,1510,17489,
1135,3066,,17610
1136,2366,,23298
1137,4623,11347,15959
1138,3313,16500,25985
1139,4578,15908,7500
1140,3398,,
1141,700,6223,44146
1142,840,19212,
1143,480,,
1144,3,6138,
1145,4625,,21495
1146,923,11638,38358
1147,882,6809,45362
1148,2867,,9129
1149,115,,10652
1150,2097,8004,
1151,86,,
1152,2759,,30529
1153,4973,14235,
1154,2757,,
1155,2236,13647,47977
1156,3803,,
1157,1527,,
1158,2395,,25432
1159,4181,7425,29775
1160,3512,,42615
1161,2639,2313,47588
1162,3744,,35223
1163,1492,,
1164,4350,17533,
1165,2122,,
1166,4892,,
1167,1928,5271,
1168,950,,6838
1169,395,10897,32431
1170,2577,783,
1171,450,889,
1172,1355,11775,28795
1173,513,15747,
1174,2866,11228,
1175,3710,13699,
1176,1232,,
1177,933,,14654
1178,2676,,24251
1179,2441,,1676
1180,2961,5907,40807
1181,3484,,
1182,2738,,17236
1183,2605,,
1184,4956,,
1185,1945,11346,
1186,1442,,10224
1187,1555,,
1188,58,4440,39655
1189,2398,,
1190,1843,11253,4572
1191,3847,18672,10032
1192,3647,6566,30696
1193,2333,4486,
1194,3694,,
1195,3085,14438,9457
1196,4346,,
1197,2777,18345,
1198,2757,10462,29774
1199,1255,13678,47298
1200,4833,,8236
1201,4086,,
1202,2971,7933,20341
1203,3019,16822,
1204,487,,
1205,1773,6083,46198
1206,3232,13642,
1207,3824,,20973
1208,179,4071,34573
1209,1780,16080,36579
1210,3242,16797,26493
1211,4133,2588,
1212,3457,,1667
1213,916,,
1214,933,5568,
1215,3143,,
1216,4949,11747,17995
1217,152,,25530
1218,4192,8403,
1219,3559,2436,
1220,3405,,10060
1221,493,4124,
1222,3887,615,
1223,4054,13098,33440
1224,3470,,
1225,979,18224,19123
1226,3173,,
1227,2141,,
1228,3846,,16557
1229,4486,,
1230,2051,18540,24456
1231,3854,,49921
1232,2361,9137,
1233,797,,
1234,4714,,
1235,4005,,27515
1236,4445,,13707
1237,4812,,
1238,3593,2053,
1239,20,,28145
1240,2683,18253,
1241,3115,,45829
1242,3284,,15417
1243,2854,5082,18210
1244,177,2018,2533
1245,1640,,
1246,4336,10048,
1247,3463,3478,
1248,4650,,43174
1249,4045,,16522
1250,1817,17431,28625
1251,1778,790,13125
1252,3390,,2795
1253,1805,15150,19700
1254,92,,
1255,4593,,37992
1256,3458,,
1257,1367,,
1258,4791,4509,
1259,3280,16840,12167
1260,450,,
1261,3736,4407,
1262,72,14691,46251
1263,3772,,
1264,871,,14736
1265,3616,2667,21112
1266,1713,,35508
1267,2485,,45500
1268,561,,32694
1269,4272,10197,
1270,3232,7199,
1271,1796,,47648
1272,3775,,40792
1273,109,,
1274,1039,19962,29882
1275,1717,1231,
1276,1394,12273,
1277,4309,10543,
1278,2785,,37039
1279,4581,,
1280,2040,5834,
1281,2301,,
1282,3026,,27007
1283,2506,,
1284,2816,3307,
1285,879,14227,47846
1286,3411,,
1287,77,,
1288,4255,11507,
1289,4813,15604,28620
1290,1210,,
1291,2100,17433,43965
1292,4616,9412,23693
1293,351,,40925
1294,4366,9058,48570
1295,3679,2132,
1296,604,16413,29386
1297,3977,,43806
1298,776,6045,
1299,4730,8075,
1300,3375,2472,
1301,2037,,22972
1302,897,,45158
1303,1945,19569,
1304,534,14611,2732
1305,2542,,
1306,1507,4743,9995
1307,828,,
1308,3707,5312,19638
1309,3617,,
1310,2662,11493,
1311,1695,6750,26005
1312,1512,,42543
1313,739,6065,
1314,2789,5868,5363
1315,4634,13073,19909
1316,3401,,
1317,4713,8076,
1318,2469,15562,14020
1319,3338,,
1320,2111,3736,17073
1321,1330,,18959
1322,3688,13976,
1323,3601,,38908
1324,3820,15254,49130
1325,1529,,23401
1326,4187,,
1327,632,3926,
1328,1021,,
1329,1232,4870,18619
1330,4845,,
1331,1374,,
1332,1452,18523,
1333,1234,,
1334,694,,15270
1335,538,15330,
1336,2469,12993,6294
1337,2303,,
1338,4539,17029,36105
1339,2489,4398,
1340,4871,,
1341,3359,19953,4211
1342,1502,17128,
1343,1574,,
1344,1875,,37491
1345,1405,,48663
1346,1401,6655,43340
1347,1635,,22481
1348,4279,14715,49155
1349,3604,5196,8831
1350,4414,,
1351,1671,,
1352,3348,,
1353,4429,19456,17621
1354,103,8745,
1355,4440,16019,44911
1356,1386,,10290
1357,4730,10747,
1358,4353,,
1359,4463,,
1360,2976,14743,28546
1361,3386,,25386
1362,3361,,12912
1363,4138,640,
1364,3699,,
1365,513,,44595
1366,4526,,
1367,62,8834,
1368,3282,,
1369,4363,2962,
1370,2557,18512,14754
1371,3873,,40410
1372,4335,,
1373,197,15343,33142
1374,4758,,23185
1375,51,,
1376,4445,,
1377,1211,16685,33969
1378,3036,12196,2002
1379,2215,,
1380,2278,18614,16429
1381,103,15559,
1382,3880,15363,6907
1383,2121,,2123
1384,1669,4839,22200
1385,1380,,
1386,3074,,32019
1387,1673,,14220
1388,3662,18700,11234
1389,43,1429,36010
1390,2841,,
1391,1383,8859,29504
1392,73,,
1393,1746,,
1394,2095,,
1395,990,,
1396,2835,,
1397,3568,3071,
1398,118,7455,5863
1399,1766,11384,15114
1400,3704,10596,
1401,478,,46748
1402,2235,1342,
1403,3166,,40007
1404,1847,,
1405,648,5168,
1406,2692,,19390
1407,179,,
1408,986,,
1409,4454,6267,33837
1410,4704,15166,38981
1411,3953,2606,39982
1412,4323,14525,4462
1413,1872,,38837
1414,1840,605,5876
1415,3010,,14474
1416,2138,11018,9778
1417,412,3942,
1418,1784,10846,
1419,489,,
1420,2488,,
1421,2938,17580,
1422,4247,,34221
1423,4572,8716,
1424,1301,,43940
1425,2517,,
1426,270,,23849
1427,2129,,15251
1428,3773,,33458
1429,3937,9651,26731
1430,1918,,6906
1431,3683,15304,48592
1432,2198,7502,42593
1433,1568,,
1434,611,,20060
1435,1,,
1436,881,2932,
1437,2384,6905,37780
1438,2426,1803,
1439,1372,,
1440,3597,,
1441,553,11721,
1442,438,,
1443,3238,2851,
1444,1643,,46936
1445,30,,18896
1446,2071,10108,
1447,2360,,
1448,3437,18379,80
1449,1129,18324,
1450,57,4199,45967
1451,1487,,
1452,1012,13300,29798
1453,109,13910,18811
1454,421,,
1455,2825,,
1456,1769,7054,41515
1457,184,,4337
1458,887,8784,
1459,269,13166,
1460,2621,,
1461,1450,,
1462,4366,17730,20056
1463,445,,
1464,360,8989,24749
1465,3335,,40168
1466,2521,8089,29489
1467,1495,,
1468,2737,15867,
1469,4264,,39889
1470,434,9755,
1471,880,,
1472,2663,,24957
1473,420,,47431
1474,497,,24824
1475,2037,,
1476,552,19486,37760
1477,652,10822,2660
1478,3525,,10406
1479,671,,44846
1480,2973,1543,30234
1481,415,17677,
1482,2029,,
1483,309,,
1484,1558,,28157
1485,2454,,20889
1486,1942,,
1487,4807,,9795
1488,3323,2997,
1489,19,,33630
1490,4636,11634,
1491,1914,2146,
1492,356,10264,
1493,646,14864,9425
1494,4380,9763,
1495,3435,,
1496,1341,8613,
1497,3891,17595,
1498,451,8264,4117
1499,4551,,
1500,4937,,
1501,1233,,
1502,4755,16456,
1503,2814,11220,8312
1504,4058,,11211
1505,559,,22449
1506,2379,,29608
1507,3725,16713,
1508,3940,,
1509,3656,17962,
1510,2797,5588,
1511,2668,9841,
1512,3176,,32938
1513,4156,,4039
1514,1634,12961,
1515,3107,1494,
1516,179,,26182
1517,3552,17707,27722
1518,2005,2393,
1519,4224,17681,25587
1520,2471,15670,36635
1521,4513,18227,14144
1522,2203,,
1523,2081,4633,
1524,4653,,2002
1525,2118,,
1526,4789,,
1527,3968,,32932
